name,bus0,bus1,carrier,efficiency,p_nom_extendable,p_nom_max,p_min_pu,capital_cost,marginal_cost,ramp_limit_up,ramp_limit_down,bus2,efficiency2,comment
electrolysis,power,hydrogen,electricity_ac,0.74,True,1000000.0,0.0,115170.4489939803,0.537,,,,,Main electrolyzer converting AC power into hydrogen.
hydrogen_compression,hydrogen,hydrogen_storage,Hydrogen,1.0,True,1000000.0,0.0,138.4449147320404,0.0001,,,power,-0.05,"Moves hydrogen into storage, accounting for compression losses (neg. Power on bus2)."
hydrogen_from_storage,hydrogen_storage,hydrogen,Hydrogen,1.0,True,1000000.0,0.0,0.08722020172373864,0.0,,,,1.0,Withdraws hydrogen from storage back to the process stream.
ammonia_synthesis,power,ammonia,electricity_ac,6.25,True,10000000.0,0.3,23879683.84141381,0.0,0.4,0.4,hydrogen,-7.092,"Ammonia synthesis (Haber-Bosch) block, consuming power and hydrogen to produce ammonia."
battery_pcs_charge,power,power_storage,electricity_ac,0.954,True,10000000.0,0.0,12302.58816835739,0.0,,,,1.0,Battery PCS charging AC to storage (includes capital cost).
battery_pcs_discharge,power_storage,power,electricity_ac,0.954,True,10000000.0,0.0,0.11133731863436652,0.0,,,,1.0,Battery PCS discharging storage to AC (minimal cost to avoid double-counting).
hydrogen_fuel_cell,hydrogen,power,Hydrogen,0.5,True,1000000.0,0.0,157619.53857481875,0.0,,,,1.0,Optional fuel cell to supply power from hydrogen during deficits.
penalty_link,ramp_penalty,ramp_penalty_dest,electricity_ac,1.0,True,1000000.0,0.0,118173910.68000007,1000000.0,,,,1.0,Transfers ramp penalty flow to an accumulating store for post-processing.
